user_id,place_id,restaurant_name,city,state,country,food_price,smoking_area,restaurant_cuisine,user_budget,user_cuisine,reviews,classification
U1103,P132732,Taqueria EL amigo ,Cd Victoria,Tamaulipas,Mexico,low,none,Steaks,medium,Mexican,"Walking distance to the center and castle, but far from the tourist traps in terms of both location and food. The place offers cheap lunch combos on workdays but the main menu is not to be underestimated. Opt for garden seating if the weather is nice.",
U1103,P132630,palomo tec,Victoria,Tamaulipas,,low,none,Asian,medium,Juice,We tasted Penne with scamorza and Pizza margherita con burrata. It was delicous and for a good price. The waiter was friendly and nice. Nice garden outside. Great experience.,
U1103,P132613,carnitas_mata,Victoria,Tamaulipas,Mexico,medium,permitted,Dessert-Ice_Cream,medium,Hawaiian,"We enjoyed lunch at this restaurant which was recommended by a Czech friend who joined us there. As it is asparagus season, we all ordered one item that contained asparagus: a cream soup, a risotto, and an asparagus/potato/omelet plate.",
U1103,P132667,little pizza Emilio Portes Gil,Victoria ,Tamaulipas,,low,none,International,medium,Hot_Dogs,We were hungry. And this was first restaurant we saw. So we stepped in. Im digging the design and atmosphere of first Czechoslovakian Republic theyve built.,
U1103,P135104,vips,,,,medium,not permitted,Mongolian,medium,Latin_American,"Very good food and fast service. It gets a little loud when it fills up so not a place for quiet, romantic dinner, but great for lunch or dinner with friends. Good value for money too. Highly recommended.",
U1103,P132663,tacos abi,Victoria,Tamaulipas,Mexico,low,none,Steaks,medium,Korean,"Why do you need good food when the service is poor? The food is delicious. You will sit 5 cm from another person while the whole first floor is empty. WE ARE NOT IN ITALY, you serve for another type of customers.",
U1103,P132733,Little Cesarz,Cd Victoria,Tamaulipas,Mexico,medium,not permitted,Vegetarian,medium,American,Satisfied  very good location near underground station Hradcanska and Prague Castle...food is delicious and staff is really friendly,
U1107,P132660,carnitas mata calle Emilio Portes Gil,Victoria,Tamaulipas,,low,none,Brazilian,high,Cafeteria,"One of the best places to eat italian food at Praha, in cool discrit with mtro stations, cars, buses and tramways.",
U1107,P132584,Gorditas Dona Tota,,,,medium,not permitted,International,high,Italian,The Pizza was running with water and wet. This made the bread very soggy and difficult to eat as everything fell off it.,
U1107,P132733,Little Cesarz,Cd Victoria,Tamaulipas,Mexico,medium,not permitted,Latin_American,high,Diner,"Other than that, it's still a good place. There's pleasant outdoor seating, the menu is pretty good, and they have Pilsner Urquell on tap. If I recall correctly, the menu is also available in English.",
U1044,P135088,Cafeteria cenidet,Cuernavaca,Morelos,Mexico,low,not permitted,Steaks,medium,Fast_Food,Nice. Menu changes seasonally but they always have pizza and a delicious burger,
U1044,P132583,McDonalds Centro,Cuernavaca,Morelos,Mexico,low,not permitted,Cafe-Coffee_Shop,medium,Family,"The restaurant derives its name from the iconic Fiat 500, on display above the bar. European, mostly Italian, food. Friendly staff, pleasant atmosphere.",
U1070,P132608,Hamburguesas La perica,Victoria,Tamaulipas,Mexico,low,permitted,Cafeteria,low,Cafe-Coffee_Shop,"As for food itself, we tried various Italians staples, mainly pasta, which never failed to satisfy us. Last time papardelle with mussels and spaghetti, each made al dente with rich sauces and toppings. Haven't tried pizzas, though, as by sight they did not look very well made or authentic, despite generous toppings",
U1070,P132609,Pollo_Frito_Buenos_Aires,Victoria,Tamaulipas,Mexico,low,not permitted,Contemporary,low,Deli-Sandwiches,"The place is nice, the decoration is original, the food was average with some unusual dishes (duck burger??). The setback: really too expensive, it is easy to find the same level of quality for a much better price.",
U1070,P132613,carnitas_mata,Victoria,Tamaulipas,Mexico,medium,permitted,Deli-Sandwiches,low,Cafeteria,"I can not but recommend this restaurant. The lunch menu is always with a lot of options, the service is quick, the decorations are beautiful and the restaurant overall is very stylish and cozy. We will be back :)",
U1031,P132663,tacos abi,Victoria,Tamaulipas,Mexico,low,none,Diner,medium,Mexican,"Five minute walk from the lower entrance to the Castle Royal Gardens, itself at the Krlovsky Letohrdek (""Royal Gardens"") Tram stop (line 22 or 23 from the Mala Strana). A good outing would be lunch here before or after visiting the castle, or dinner after a visit later in the day. And now that Islamist terrorists have given us long lines to enter the Castle complex, Krlovsky Letohrdek is the best place to enter as it has by far the shortest lines.",
U1031,P132665,TACOS CORRECAMINOS,Victoria,Tamaulipas,Mexico,low,none,Mexican,medium,Mexican,"We went to this restaurant on the festive day of 1 May with our children. It was around lunch time we just wanted a nice drink. The waiters were annoyed, they were rude, there was only one drink menu on the table and despite us being six, the staff did not bother to bring more. The menu seems impressive, but we are not coming back to try, if they displayed such attitude.",
U1031,P132668,TACOS EL GUERO,Victoria,Tamaulipas,Mexico,low,none,Mexican,medium,Mexican,"I can recommend. The food is very tasty, the place is cosy and stuff is friendly. Only the prices are pretty high.",
U1082,P132630,palomo tec,Victoria,Tamaulipas,,low,none,Chinese,medium,Latin_American,I love everything (and so will car lovers.....) portions are big so a family of 4 will be Ease to just order 3 amazing things from the English/Czech menu.the prices are well chosen.,
U1023,P132715,tacos de la estacion,,,,low,none,Mexican,low,Japanese,"Supa Burger again with a Chicken Caesar Salad. Both Brilliant. IPA had more foam than beer and although this is the Czech way it is the way to serve a Pils not an Ale. Service: Awful, borderline rude from some reddish haired fellow.",
U1023,P132717,tortas hawai,,,,medium,not permitted,Japanese,low,Japanese,"Great little restaurant, walking distance from the castle offering a great variety of food. Great quality and variety compared to any other restaurants around the castle. Also, the prices were much lower than anywhere near the castle. You must try their desserts!",
U1082,P132613,carnitas_mata,Victoria,Tamaulipas,Mexico,medium,permitted,Bar,medium,Fast_Food,We stumbled on this by accident - what a lovely experience we had! The service was amazing and the food was absolutely delicious . The ambience was relaxed well worth a visit !,
U1082,P132594,tacos de barbacoa enfrente del Tec,,,,low,not permitted,Cafe-Coffee_Shop,medium,Mexican,Food is the real surprise here with delicious dishes served by friendliest staff ever,
U1082,P132608,Hamburguesas La perica,Victoria,Tamaulipas,Mexico,low,permitted,Cafeteria,medium,Cafe-Coffee_Shop,We stayed in an air bnb a couple doors down. Owner recommended the place. The food was great and the service was awesome. Would recommend if you're in the area.,
U1082,P132609,Pollo_Frito_Buenos_Aires,Victoria,Tamaulipas,Mexico,low,not permitted,Bar,medium,Contemporary,"Lunched here (family of 4) and ordered two pizzas. Very happy with the food and service. Nice small restaurant with an outdoor patio, thin crust pizza was excellent. We'll be back before we leave Prague.",
U1082,P132663,tacos abi,Victoria,Tamaulipas,Mexico,low,none,Bar_Pub_Brewery,medium,Regional,"Very disappointing. Ignored by the grumpy waiters, waited a long time for very average food. I would not recommend this place at all.",
U1082,P132560,puesto de gorditas,Victoria,Tamaulipas,Mexico,low,permitted,Mexican,medium,Fusion,"My favourite place in Prague 6. Excellent Pilsner Urquell, very tasty and variable food, and always professional and kind staff.",
U1060,P132564,churchs,,,,low,none,Mediterranean,medium,Japanese,Way out of the regular tourist route with nice atmosphere and really good (and different) burger. Try it !!,
U1060,P132717,tortas hawai,,,,medium,not permitted,International,medium,Portuguese,"The restaurant is really nice! I like the quirky dcor. Visited with family, whenever we ate there the food was great and big portions too. I practically enjoyed the pizza made without tomato sauce.",
U1060,P132733,Little Cesarz,Cd Victoria,Tamaulipas,Mexico,medium,not permitted,Mexican,medium,American,"We ate here twice during our long stay in Prague. We really enjoyed this restaurant. The food is interesting-unusual flavor combinations, but tasty. The ""Supaburger"" was honestly one of the best burgers either of us had ever tasted. The decor is cool, but we especially enjoyed the outdoor garden for dinner. Service was friendly and wait-staff spoke English to us (which was not neccesary, but appreciated).",
U1060,P132740,Carreton de Flautas y Migadas,Cd Victoria,Tamaulipas,Mexico,low,permitted,Italian,medium,Indian-Pakistani,"Singular daily special, choice would have been nice. Fine soup and decent meaty CZ value for money. Home made lemonade not particularly lemony. Could have been from syrup. Standard stuff all round for a local eateria with speedy service. Did the job for an efficient lunch. Staff a bit robotic. Not unpleasant but charisma removed. Smile guys. Be happy.",
U1015,P135071,Restaurante la Cantina,San Luis Potosi,San Luis Potosi,Mexico,medium,section,Bar,medium,Eastern_European,"But the best thing was the service and food: People who visit Prague know that service can be really bad everywhere but not here, here everybody was polite and smiley and I ordered one of their most popular and most expensive pizzas a well as a Portuguese red wine and left 10% tip and all of that was about 250kc which is about $10!",
U1123,P132733,Little Cesarz,Cd Victoria,Tamaulipas,Mexico,medium,not permitted,Bar_Pub_Brewery,low,Lebanese,"The restaurant is really nice! I like the quirky decor and outside seating area is really great in summer! Also whenever we ate there the food was great and big portions too. However, the waiters are a real let down of this place - I find them quite rude and constantly shouting something at each other and the language they use is really not appropriate. I'd prefer not to understand Czech not having to listen to them.",
U1123,P132608,Hamburguesas La perica,Victoria,Tamaulipas,Mexico,low,permitted,Bar,low,Moroccan,"The ambience is nice and cosy for a winter evening. The Pizza is good, but not great. Great value for money but not the tastiest food, pretty standard. Also had the Gluhwein / Mulled Wine - not great either, tasted like box wine.",
U1123,P135104,vips,,,,medium,not permitted,Bar_Pub_Brewery,low,Barbecue,I was there for a dinner together with a group of friends. We had different meals and everybody was very satisfied. My risotto accompanied with several pieces of roasted pork was simply excellent ! The service was ok.,
U1123,P132584,Gorditas Dona Tota,,,,medium,not permitted,Italian,low,Polynesian,I came here with my wife for a quick lunch. We ordered Salad and a Pizza. Salad was very good but pizza quite mediocre.. Service was very good,
U1123,P132667,little pizza Emilio Portes Gil,Victoria ,Tamaulipas,,low,none,Seafood,low,Polish,"Very very bad service. There were 3 waiters and none of them gave us menus and we sat there for a while. In the meanwhile, someone else entered the restaurant and they served them first, while we sat with no menus. They must learn to treat their clients better. I don't recommend this place for tourists, because we felt unwanted there",
U1123,P132740,Carreton de Flautas y Migadas,Cd Victoria,Tamaulipas,Mexico,low,permitted,Mexican,low,Chinese,Pricey. Nice burger but bread a bit dry. Service isn't that great. They want you to eat fast and leave room for other guests. A bit unprofessional.,
U1123,P132613,carnitas_mata,Victoria,Tamaulipas,Mexico,medium,permitted,Mediterranean,low,Mexican,"I live next door, so i am kind of habitue in the place :-), food is really high quality all of kinds....they make best pizza in neighborehood, but tha best thing is bar with chairs outside, to have a nice pilsner beer and cigarette",
U1123,P132594,tacos de barbacoa enfrente del Tec,,,,low,not permitted,Burgers,low,Family,"For a truly Czech experience, at affordable prices, visit 500 Restaurant. The service is super friendly. The food is super great and delicious... and at a very reasonable price. Great for families or couples.",
U1021,P132740,Carreton de Flautas y Migadas,Cd Victoria,Tamaulipas,Mexico,low,permitted,Mexican,medium,Mexican,"Coll place, nice garden part, food is outstanding, 2 special burgers, pizza, good quality of all food. Staff is friendly, funny. Good beer and wine. Try it, wont be disappointed.",
U1026,P132626,la perica hamburguesa,Victoria,Tamaulipas,,medium,none,Cafe-Coffee_Shop,medium,Pizzeria,"15 minutes from Karlus Most, this restaurant will take you out from the noisy streets of Prague. With a big terrace you will enjoy their italoamerican food as well as local beer. We has 3 beers of 0,5l, one supabuga and one caesars salad for less than 20. Tasty and big sized!",
U1021,P132668,TACOS EL GUERO,Victoria,Tamaulipas,Mexico,low,none,Cafeteria,medium,Regional,"We visited this place for a weekend lunch. They have nice terrace/garden. Overall the whole place is interestingly decorated, food was great, the service friendly.",
U1021,P132715,tacos de la estacion,,,,low,none,Mexican,medium,Chinese,"Friends took us to this friendly and vibrant place just outside the ancient walls of the city, and we thoroughly enjoyed the experience. Main courses were between six and ten euros (I.e. all under 6.50), with decent sized portions of well presented tasty food",
U1044,P134987,Chilis Cuernavaca,Cuernavaca,Morelos,Mexico,medium,none,Latin_American,low,Burgers,"Had a late dinner here with a friend in mid-May after arriving in Prague. Food is reasonably priced - had one of the pizzas which was good and a nice craft beer for myself, and pasta with wine for my friend.",
U1083,P135034,Michiko Restaurant Japones,San Luis Potosi,San Luis Potosi,Mexico,medium,none,Mexican,low,Mexican,"A great spot for non smokers to enjoy a lively, pub atmosphere inside and nice garden seating. We have been here at least 10 times and have never been disappointed....our family favorite is the beetroot salad with feta and pine nuts.",
U1083,P132723,Gordas de morales,,San Luis Potosi,Mexico,medium,section,American,low,Mexican,A large bowl was just $3! It is not served with bread but you can order a basket which I recommend - about 8 slices of two varieties of fresh baked bread with herb butter for $1.25. They also have great draft beer for $2 for 0.5 liter.,
U1083,P135046,Restaurante El Reyecito,San Luis Potosi,San Luis Potosi,Mexico,medium,none,International,low,Afghan,"The place is nicely designed and the atmosphere is alright. The service is a standard Czech level service (which means not a very good service), food was average, nothing special. Not bad not good but the prices are so high at that place!!! Doesn't justify the food they are serving or the location of the place",
U1108,P135075,Mariscos El Pescador,San Luis Potosi,San Luis Potosi,Mexico,medium,none,Family,low,Mexican,"I've lived down the street from this place for a while now, and have visited many times. The food is nothing special and very over priced. Only visited here due to pure laziness to go someone farther.",
U1108,P132572,Cafe Chaires,San Luis Potosi,San Luis Potosi,Mexico,low,not permitted,Cafeteria,low,Mexican,"Great find in the Jewish Quarter of Prague. We stumbled upon this place while walking around and unanimously agreed it was one of our favorite meals of the entire trip. Great food, good service, and a steady supply of cold beers!",
U1108,P135074,Restaurante la Parroquia Potosina,San Luis Potosi,San Luis Potosi,Mexico,high,section,Mexican,low,Family,"We just happened to stumble upon this little jewel of a restaurant, and were sure glad we did. Great, helpful staff with even better food. I had the Margarita Pizza and absolutely loved it. This seemed like a very local lunch spot, which we liked.",
U1108,P135028,La Virreina,San Luis Potosi,San Luis Potosi,Mexico,medium,none,Family,low,Mexican,"easy going, informal and cozy. nice, affordable menu. Surprisingly broad wine list served by smiled staff",
U1108,P135085,Tortas Locas Hipocampo,San Luis Potosi,San Luis Potosi,Mexico,medium,not permitted,Caribbean,low,Mexican,"Nice restaurant with an original interior, resembling a garage. Service was fast enough, the beer was good, and the prices are OK. Food not too expensive, but the pizzas could do with a touch more italian. Remaines a bit soggy and wouldn't suffer from additional flavour/herbs/spices.",
U1108,P135032,Cafeteria y Restaurant El Pacifico,San Luis Potosi,San Luis Potosi,Mexico,medium,section,Mexican,low,Mexican,"Dinner with a group of friends, 10 of us. Good welcome which isn't always the case in Prague, slick service in really nice, quirky restaurant. Food was great, very good quality and good helpings. Nobody was disappointed in fact my starter and main pasta dish were amongst the best I've tasted.........and NOT at all expensive. A bit noisy but I suppose our group added considerably to this. Definitely going back.",
U1108,P135086,Mcdonalds Parque Tangamanga,San Luis Potosi,San Luis Potosi,Mexico,medium,not permitted,American,low,Mexican,"Location is gloomy. Picture on site is photoshopped. Food is passable, nothing special. We were over charged. Much beter food and locations in Prague. Avoid.",
U1108,P132723,Gordas de morales,,San Luis Potosi,Mexico,medium,section,Mexican,low,Mexican,"If you value good service and quality cooking, I would not recommend 500 restaurant.",
U1108,P135046,Restaurante El Reyecito,San Luis Potosi,San Luis Potosi,Mexico,medium,none,Mexican,low,Mexican,We love getting off the beaten path and eating where locals eat. This little restaurant had the best pizza we have had in a long time. Mostly Italian food on the menu with some daily specials.,
U1108,P135058,Restaurante Tiberius,San Luis Potosi,San Luis Potosi,Mexico,medium,none,Family,low,Mexican,This place was recommended by a work colleague. I am very grateful that we took him up on his recommendation. This has to be one of the best Italian restaurants I have eaten in. The menu is typical rustic Italian fare with a good choice of pasta and pizzas.,
U1012,P135001,Vips,Cuernavaca,Morelos,Mexico,medium,none,Bar,medium,Family,This restaurant offers a variety of dishes with an emphasis on Italian Food. It is on the corner up above the Hradcanska Metro stop. It is a neighborhood restaurant and especially lively on Friday and Saturday nights.,
U1012,P134983,Restaurant and Bar and Clothesline Carlos N Charlies,Cuernavaca,Morelos,Mexico,high,section,Mexican,medium,Mexican,"Very poor,service was awful and the food was basically supermarket food from a freezer, traditional fish and chips,what a joke,it was a frozen battered cod fillet cooked up and came with a few chips,",
U1012,P134996,Sanborns Casa Piedra,Cuernavaca,Morelos,Mexico,medium,only at bar,Cafeteria,medium,Mexican,"Out of 7 of us, only 1 enjoyed their food. Thats quite a feat given we all largely had different things. Comments included -Risotto - mushy with old asparagus on top, Lasagne - very blon",
U1093,P135019,Restaurant Bar Coty y Pablo,Jiutepec,Morelos,Mexico,low,none,Family,medium,Mexican,More fresh produce would be good. The food at the moment is to a decent standard but it needs more ideas like nightly specials not frozen fish etc.,
U1093,P134996,Sanborns Casa Piedra,Cuernavaca,Morelos,Mexico,medium,only at bar,American,medium,Regional,Foods to a okay standard it needs more fresher items but also needs nightly specials but this can only be offered if management are onboard.,
U1093,P135001,Vips,Cuernavaca,Morelos,Mexico,medium,none,Contemporary,medium,Pizzeria,"The staff was talking on phone when we reached the restaurant. He might be the only one taking in charge, yet he provided very good services once he realised we are having dinner at the place.",
U1093,P134976,Log Yin,,,,low,none,Italian,medium,Contemporary,"Staying at the hotel and couldnt be bothered to go walking about, I dont normally go for hotel restaurants but I have now eaten in the restaurant three times and each time have really enjoyed the food.",
U1093,P134999,Kiku Cuernavaca,Cuernavaca,Morelos,Mexico,medium,none,American,medium,Mexican,"Came here for late lunch with my partner, the atmosphere was relaxing and the food was amazing, but most of all our server Alex was spectacular!",
U1030,P135018,El Oceano Dorado,Cuernavaca,Morelos,Mexico,medium,permitted,American,medium,Latin_American,This was the third time in a year we've eaten here. Having tried an Italian not too far from TwentyNine which was disappointing we hit on TwentyNine by chance. Each time we've visited the food has been absolutely fine. The menu is sufficiently varied and the chef is clearly good.,
U1093,P135013,Giovannis,Jiutepec,Morelos,Mexico,low,none,American,medium,Mexican,"I asked for the vegetable Curry, it was okay but it was a ridiculously small portion, I would say a large ramekin size with mini poppadoms 1/4 cup of rice for 12.50 not the best value.",
U1030,P134986,Restaurant Las Mananitas,Cuernavaca,Morelos,Mexico,high,none,Family,medium,Middle_Eastern,"stayed at the hotel nice drinks and food, cocktails around 6, average food price around 15, more for steaks. I had the spaghetti and it was really lovely. My husband had the burger and he also enjoyed it.",
U1012,P134986,Restaurant Las Mananitas,Cuernavaca,Morelos,Mexico,high,none,Mexican,medium,Mexican,"I had the lamb curry, very tasty sauce, rice, naan bread and poppadum but half of the meat was tough and grisly, I mentioned it to the very concerned waitress and she reduced the bill in way of compensation, nice atmosphere & staff",
U1012,P135018,El Oceano Dorado,Cuernavaca,Morelos,Mexico,medium,permitted,American,medium,Mongolian,"Expect slow service, and room temperature food. Nothing special. I ordered the Minute Steak. It was ordinary and cold.",
U1030,P135088,Cafeteria cenidet,Cuernavaca,Morelos,Mexico,low,not permitted,Mexican,medium,Moroccan,13.50 for a full english that was cold & inedible. asked for a refund to which the hotel reception refused as apparently they cooked the breakfast just for me. it was a buffet you fools!!!!,
U1093,P132767,Restaurant Familiar El Chino,Jiutepec,Morelos,,medium,permitted,Burgers,medium,Bar,Food was wonderful; staff allowed me to alter the main to dairy free. However then bought bread and butter out (after having a lengthy discussion about my allergy). They didn't know what sunflower spread was/ provide an alternative.,
U1030,P135016,Arrachela Grill,Cuernavaca,Morelos,Mexico,medium,none,Hot_Dogs,medium,American,Not much in the menue but ok. A bit expensive but the best for that area whoch consist mostly by fastfood places. Nice staff.,
U1093,P135011,Los Vikingos,Jiutepec,Morelos,Mexico,medium,none,Mexican,medium,Mexican,Had a lovely 2 course meal here. Opted for the 2 courses for 15 which included a glass of wine. Had soup for starter which could have been a main as the bowl was massive,
U1030,P132767,Restaurant Familiar El Chino,Jiutepec,Morelos,,medium,permitted,Mexican,medium,Mexican,"The food offered at this restaurant is excellent, good value and cooked to perfection. The best deal is the two courses for fifteen pounds with a free glass of wine.",
U1030,P135019,Restaurant Bar Coty y Pablo,Jiutepec,Morelos,Mexico,low,none,Mexican,medium,Mexican,"Dirty, poor, expensive, overpriced.Old gorceries used for this restaurant.Poor choice.Never more! Terrible.",
U1030,P135109,Paniroles,,,,medium,not permitted,American,medium,Mexican,"I spent three nights here on business and I do have to say the hotel is exactly what you would expect, I was to late most nights for food but did ask for the 24hr menu",
U1030,P134996,Sanborns Casa Piedra,Cuernavaca,Morelos,Mexico,medium,only at bar,American,medium,Bakery,"We stayed here when we went to London for a few days. The staff were brilliant, the room was fine. You couldn't really hear any additional noise despite beinga busy road thanks to the secondary glazing.The restaurant had a great menu, and everything we had was delicious and good value...can't beat it.",
U1066,P135011,Los Vikingos,Jiutepec,Morelos,Mexico,medium,none,African,low,Mexican,we awere staying at the hotel..Have to say the food and service was excellent. the choice was excellent and evrything came out well presented and delicious,
U1066,P134999,Kiku Cuernavaca,Cuernavaca,Morelos,Mexico,medium,none,Bar_Pub_Brewery,low,Mexican,"In the hounslow area definetly the best restaurant , the food was perfect , friendly staff , welcoming atmosphere. Definetely will go again.",
U1127,P134975,Rincon del Bife,,,,high,section,Breakfast-Brunch,low,Breakfast-Brunch,Made a special trip to visit this restaurant having seen it on the Gourmet Society listing. Made a booking and we checked the terms at the time of booking. I was really looking forward to trying out the lovely food described in reviews.,
U1127,P135021,Subway,Cuernavaca,Morelos,Mexico,low,not permitted,Mexican,low,Mexican,We were really looking forward to visiting and had it on our 'list' for a while. I have a Gourmet Society card and was pleased to see they had a 50% deal with no exclusions ( just advised to call before visiting) which I did to check it was ok to use the Gourmet Society card. I was told it was fine and booked.,
U1127,P134987,Chilis Cuernavaca,Cuernavaca,Morelos,Mexico,medium,none,American,low,American,"i liked the staff and the food ,natali was polite,friendly and really good in costumer service ,all the staff was amazing",
U1127,P134996,Sanborns Casa Piedra,Cuernavaca,Morelos,Mexico,medium,only at bar,Mexican,low,Cuban,"I had one meal, the food was good, better than average, not what I would call very good. And since I've been on the road about 3 months this year, it's fair to say.",
U1017,P132768,Mariscos Tia Licha,Cuernavaca,Morelos,Mexico,medium,not permitted,Mexican,medium,Mexican,I had gnocci and my wife had risotto and both had a lovely flavour - the accompanying side salads were very fresh and full of taste,
U1066,P135019,Restaurant Bar Coty y Pablo,Jiutepec,Morelos,Mexico,low,none,Mexican,medium,Burgers,From the duck egg asparagus to the beet and goat cheese tower....all great stuff....the risotto was also very tasty!,
U1017,P134975,Rincon del Bife,,,,high,section,Mexican,medium,Cafeteria,Service was good if a bit on the slow side. Food was Ok but not just good enough to entice you back again.,
U1017,P134983,Restaurant and Bar and Clothesline Carlos N Charlies,Cuernavaca,Morelos,Mexico,high,section,Mexican,medium,Pizzeria,"Excellent food, very well presented by extremely friendly staff. Well worth a visit.",
U1066,P132767,Restaurant Familiar El Chino,Jiutepec,Morelos,,medium,permitted,Mexican,low,Juice,"The food is well presented, a decent portion and delicious. The quality was really great. All of our dishes were very nice indeed.",
U1100,P135021,Subway,Cuernavaca,Morelos,Mexico,low,not permitted,Mexican,medium,American,Came through on my way home & as always brewers fayre didnt disappoint. I always like to find a brewers fayre as I find them consistent and great value. I saw a lovely lady name me tash who was super friendly!,
U1100,P134996,Sanborns Casa Piedra,Cuernavaca,Morelos,Mexico,medium,only at bar,Mexican,medium,Tex-Mex,Came in for breakfast and Karen and Evie were fabulous food was amazing pipping hot and cooked perfect well done to the chefs,
U1066,P135013,Giovannis,Jiutepec,Morelos,Mexico,low,none,Burgers,low,Spanish,visited today with my friend and our kids and we had the unlimited breakfast. It was so good and great value for money.,
U1100,P135000,Restaurant los Pinos,Cuernavaca,Morelos,Mexico,medium,none,Mexican,medium,Mexican,I had breakfast here today and the service by Evie was really lovely and the food was very good to! Definitely recommend it.,
